Date,Open,High,Low,Close,AMD,SPY
2018-04-30,3.3,3.4,3.06,3.2,10.880000114440918,243.82806396484375
2018-05-01,3.3,3.4,3.3,3.4,11.130000114440918,244.2613067626953
2018-05-02,3.4,3.4,3.2,3.3,10.970000267028809,242.6204833984375
2018-05-03,3.2,3.35,3.2,3.25,10.930000305175781,242.08584594726562
2018-05-04,3.35,3.5,3.35,3.43,11.279999732971191,245.2200164794922
2018-05-07,3.6,3.85,3.6,3.75,11.59000015258789,246.04959106445312
2018-05-08,3.7,3.73,3.6,3.65,11.609999656677246,246.04959106445312
2018-05-09,3.5,4.04,3.5,4.0,11.949999809265137,248.42787170410156
2018-05-10,4.12,4.15,4.09,4.11,12.130000114440918,250.7508087158203
2018-05-11,4.0,4.0,3.8,3.9,11.949999809265137,251.5159912109375
2018-05-14,4.06,4.3,4.06,4.2,12.229999542236328,251.6357879638672
2018-05-15,4.25,4.35,4.25,4.35,12.449999809265137,249.90274047851562
2018-05-16,4.5,4.8,4.5,4.66,12.819999694824219,250.95362854003906
2018-05-17,4.57,4.7,4.57,4.7,12.819999694824219,250.74169921875
2018-05-18,4.55,4.96,4.55,4.83,13.0,250.11480712890625
2018-05-21,4.9,4.97,4.64,4.71,12.989999771118164,251.99526977539062
2018-05-22,4.8,4.85,4.54,4.75,12.979999542236328,251.29469299316406
2018-05-23,4.82,4.82,4.75,4.78,13.100000381469727,251.986083984375
2018-05-24,4.87,5.0,4.76,5.0,13.40999984741211,251.46986389160156
2018-05-25,4.97,5.2,4.97,5.12,13.539999961853027,250.87069702148438
2018-05-29,5.05,5.25,4.9,5.0,13.359999656677246,247.98541259765625
2018-05-30,5.2,5.46,5.2,5.32,13.819999694824219,251.29469299316406
2018-05-31,5.3,5.45,5.15,5.36,13.729999542236328,249.75523376464844
2018-06-01,5.5,5.9,5.5,5.8,14.399999618530273,252.20729064941406
2018-06-04,6.24,6.3,6.05,6.3,14.850000381469727,253.4056396484375
2018-06-05,6.35,6.35,6.2,6.28,14.850000381469727,253.59002685546875
2018-06-06,6.54,7.0,6.54,6.9,15.670000076293945,255.7101593017578
2018-06-07,7.0,7.19,6.3,6.3,14.890000343322754,255.68247985839844
2018-06-08,6.5,6.8,6.0,6.8,15.25,256.4383850097656
2018-06-11,6.0,7.12,6.0,7.12,15.729999542236328,256.7795104980469
2018-06-12,6.95,7.11,6.75,7.1,15.850000381469727,257.1113586425781
2018-06-13,7.24,7.7,7.24,7.55,16.31999969482422,256.29083251953125
2018-06-14,7.7,8.0,7.41,7.5,16.25,256.93621826171875
2018-06-15,7.4,7.7,7.4,7.6,16.34000015258789,256.6084289550781
2018-06-18,7.74,8.55,7.74,8.35,17.110000610351562,256.08062744140625
2018-06-19,8.5,8.5,7.72,7.95,16.690000534057617,255.09915161132812
2018-06-20,8.0,8.0,7.6,7.9,16.520000457763672,255.53431701660156
2018-06-21,7.9,8.1,6.95,6.95,15.649999618530273,253.93243408203125
2018-06-22,7.4,7.4,7.0,7.2,15.800000190734863,254.39541625976562
2018-06-25,6.7,7.0,6.15,6.62,15.109999656677246,250.93234252929688
2018-06-26,6.9,6.9,6.7,6.7,15.5,251.48793029785156
2018-06-27,7.0,7.1,6.45,6.5,14.970000267028809,249.40452575683594
2018-06-28,6.45,6.8,6.45,6.8,15.3100004196167,250.8305206298828
2018-06-29,6.75,6.75,6.5,6.5,14.989999771118164,251.19166564941406
2018-07-02,6.3,6.55,6.3,6.55,15.15999984741211,251.72860717773438
2018-07-03,6.7,6.7,6.5,6.5,15.0,250.8397216796875
2018-07-05,6.65,6.9,6.65,6.9,15.5,252.88607788085938
2018-07-06,7.3,8.05,7.3,8.05,16.360000610351562,255.0250701904297
2018-07-09,7.7,7.7,7.51,7.7,16.610000610351562,257.32135009765625
2018-07-10,7.82,7.85,7.75,7.8,16.549999237060547,258.2473449707031
2018-07-11,7.6,7.8,7.6,7.65,16.270000457763672,256.3583984375
2018-07-12,7.8,7.93,7.8,7.85,16.559999465942383,258.6825256347656
2018-07-13,7.95,7.95,7.5,7.5,16.270000457763672,258.88629150390625
2018-07-16,8.0,8.15,7.8,8.0,16.579999923706055,258.6547546386719
2018-07-17,7.84,8.05,7.84,8.05,16.8700008392334,259.7010803222656
2018-07-18,8.15,8.15,7.8,8.0,16.850000381469727,260.2474060058594
2018-07-19,7.9,8.01,7.9,7.9,16.709999084472656,259.265869140625
2018-07-20,7.8,8.0,7.75,7.75,16.5,258.9696044921875
2018-07-23,7.36,7.84,7.36,7.84,16.65999984741211,259.4511413574219
2018-07-24,8.0,8.0,7.4,7.55,16.190000534057617,260.7566833496094
2018-07-25,8.04,8.04,7.1,7.3,16.049999237060547,262.97900390625
2018-07-26,8.17,9.4,8.17,9.3,18.350000381469727,262.3585510253906
2018-07-27,9.8,10.5,9.45,9.9,18.940000534057617,260.5807189941406
